name,url,logo
有米官网,https://www.youmi.net/,https://raw.githubusercontent.com/yaoguanfei/auto_Pagespeed_insight/master/screen_shot/youmi_logo.png
AG通用版,https://appgrowing.cn/,https://raw.githubusercontent.com/yaoguanfei/auto_Pagespeed_insight/master/screen_shot/ag_logo.png
AG电商版,https://ds.appgrowing.cn/leaflet,https://raw.githubusercontent.com/yaoguanfei/auto_Pagespeed_insight/master/screen_shot/ag_logo.png
优投海外DSP,https://intl.youcloud.com/login/youtou/,https://raw.githubusercontent.com/yaoguanfei/auto_Pagespeed_insight/master/screen_shot/%E4%BC%98%E6%8A%95_logo.png
优投海外SSP,https://intl.youcloud.com/service/ssp/,https://raw.githubusercontent.com/yaoguanfei/auto_Pagespeed_insight/master/screen_shot/%E4%BC%98%E6%8A%95_logo.png
有米云官网,https://youcloud.com/,https://raw.githubusercontent.com/yaoguanfei/auto_Pagespeed_insight/master/screen_shot/%E8%90%A5%E9%94%80%E4%BA%91_logo.png
米汇产品,https://www.mihui.com/,https://raw.githubusercontent.com/yaoguanfei/auto_Pagespeed_insight/master/screen_shot/%E7%B1%B3%E6%B1%87_logo.png
